Title,Budget,ID,Original Language,Popularity,Release Date,Revenue,Runtime,Vote Average,Vote Count
50 First Dates,75000000,1824,en,11.134888,13/02/2004,196482882,99,6.6,2161
Highwaymen,0,29979,en,3.916636,13/02/2004,371396,80,5.8,50
A Love Song for Bobby Long,0,9953,en,5.185771,09/02/2004,1841260,119,6.8,97
The Clearing,0,10742,en,4.755759,07/02/2004,12520799,95,5.6,57
Mickey,6000000,54807,en,0.33262,05/02/2004,293793,90,6.5,1
Hellboy,66000000,1487,en,13.206854,04/02/2004,99318987,122,6.5,2278
Home on the Range,110000000,13700,en,8.555544,04/02/2004,103951461,76,5.7,405
Walking Tall,56000000,11358,en,10.577565,04/02/2004,57223890,86,6,387
The Card Player,2600000,15483,it,3.501564,01/02/2004,1479042,103,4.7,46
The Big Bounce,50000000,12634,en,6.496271,30/01/2004,6808550,88,5,77
RRRrrrr!!!,17820000,21778,fr,9.482248,28/01/2004,14054361,94,6.2,228
Win a Date with Tad Hamilton!,17000000,13476,en,5.924226,23/01/2004,16980098,95,5.5,163
The Butterfly Effect,13000000,1954,en,12.994939,22/01/2004,96060858,113,7.3,2119
Vizontele Tuuba,3000000,92834,en,0.808339,21/01/2004,13954476,111,6.5,9
Barbershop 2:  Back in Business,18000000,21301,en,8.353739,20/01/2004,65070412,106,5.7,77
Baadasssss!,0,28219,en,4.081547,20/01/2004,365248,108,6.7,13
We Don't Live Here Anymore,3000000,23601,en,2.127661,20/01/2004,2037545,101,5.8,29
Super Size Me,65000,9372,en,5.266103,17/01/2004,28575078,100,6.6,520
Along Came Polly,42000000,5966,en,15.725542,16/01/2004,171963386,90,5.8,795
Torque,40000000,10718,en,5.574983,16/01/2004,46546197,84,4.7,121
Control Room,0,18889,en,1.949044,15/01/2004,2586511,84,7.7,19
Mean Creek,500000,12281,en,12.428269,15/01/2004,603943,90,6.9,110
Crash,6500000,1640,en,9.785147,13/01/2004,98410061,112,7.2,1172
Closer,27000000,2288,en,10.860952,12/01/2004,115505027,104,6.7,845
Narco,823258,20200,en,4.584117,12/01/2004,823258,105,6.1,43
Ladder 49,60000000,11128,en,7.650411,10/01/2004,74541707,115,6.2,213
Saw,1200000,176,en,23.508433,10/01/2004,103911669,103,7.2,2255
Vanity Fair,23000000,11632,en,6.614456,09/01/2004,16123851,141,5.5,75
First Love,0,62495,it,0.38744,01/01/2004,9392,100,6.7,10
I Like Killing Flies,0,51069,en,0.829,01/01/2004,14000,80,6.9,11
Big Fish,70000000,587,en,14.739983,25/12/2003,122919055,125,7.6,2064
Paycheck,60000000,9620,en,12.571789,25/12/2003,96269812,119,5.9,594
Peter Pan,100000000,10601,en,8.98628,25/12/2003,121975011,113,6.9,671
Cheaper by the Dozen,40000000,11007,en,7.364297,24/12/2003,190212113,98,6,725
Cold Mountain,79000000,2289,en,9.645543,24/12/2003,173013509,154,6.7,545
House of Sand and Fog,16500000,11093,en,9.245145,19/12/2003,16942795,126,7,202
Something's Gotta Give,80000000,6964,en,8.524847,12/12/2003,266728738,128,6.3,422
Antikiller 2: Antiterror,0,41957,ru,0.238166,12/12/2003,2685000,125,4,4
Dallas 362,0,41183,en,0.631613,09/12/2003,18928,100,5.5,2
"The Book of Mormon Movie, Volume 1: The Journey",2000000,48382,en,0.079856,09/12/2003,1672730,120,5,2
Kal Ho Naa Ho,0,4254,hi,5.584308,27/11/2003,13200241,186,7.3,110
Bad Santa,23000000,10147,en,10.930143,26/11/2003,76488889,91,6.4,666
Timeline,80000000,9562,en,6.982762,26/11/2003,43935763,116,5.4,324
The Haunted Mansion,90000000,10756,en,11.605735,25/11/2003,182290266,87,5.1,481
Honey,18000000,10028,en,11.863954,24/11/2003,62646763,94,6,313
Gothika,40000000,4970,en,10.939066,21/11/2003,141591324,98,5.8,643
Monster,8000000,504,en,7.189024,16/11/2003,60378584,110,7,500
Shattered Glass,6000000,13537,en,6.0872,14/11/2003,2944752,94,6.6,114
Looney Tunes: Back in Action,80000000,10715,en,13.666488,14/11/2003,68514844,90,5.6,302
Master and Commander: The Far Side of the World,150000000,8619,en,8.693298,14/11/2003,212011111,138,6.9,808
Once Upon a Time in Mexico,29000000,1428,en,8.843365,09/11/2003,98185582,102,6.2,605
The Visual Bible: The Gospel of John,10000000,30973,en,1.551648,09/11/2003,4069090,125,8.2,12
The League of Extraordinary Gentlemen,78000000,8698,en,10.488765,07/11/2003,179265204,110,5.7,1181
Veronica Guerin,17000000,10629,en,9.548519,07/11/2003,1569918,98,6.8,61
The Triplets of Belleville,8000000,9662,fr,8.35586,06/11/2003,1477676,80,7.3,233
Anger Management,75000000,9506,en,9.409379,04/11/2003,195745823,106,5.9,937
House of 1000 Corpses,7000000,2662,en,11.00913,04/11/2003,16829545,89,6,310
House of the Dead,7000000,11059,en,5.701278,04/11/2003,13818181,90,2.8,106
The Hunted,55000000,10632,en,7.481524,03/11/2003,34234008,94,6,194
"Die, Mommie, Die!",0,43708,en,0.950658,31/10/2003,320092,90,6.6,17
Radio,32000000,13920,en,5.81647,24/10/2003,52277485,109,6.8,146
Scary Movie 3,48000000,4256,en,11.142209,24/10/2003,220673217,84,5.8,948
Wonderland,5000000,4997,en,8.062123,23/10/2003,2466444,104,6.2,73
Tarnation,218,1435,en,1.620207,19/10/2003,1162014,91,7.5,22
The Texas Chainsaw Massacre,9500000,9373,en,7.810068,17/10/2003,107071655,98,6.1,670
Sylvia,7000000,28200,en,11.37237,17/10/2003,10000000,109,5.6,34
Stuck on You,55000000,1792,en,6.96675,12/10/2003,33828318,118,5.1,194
Kill Bill: Vol. 1,30000000,24,en,25.261865,10/10/2003,180949000,111,7.7,5091
The Company,15000000,52036,en,7.803563,09/10/2003,2281585,112,5.7,21
The Corporation,0,11420,en,4.192292,09/10/2003,4500000,145,7.6,75
Latter Days,850000,15708,en,3.334942,07/10/2003,819939,107,6.8,57
Ghosts of the Abyss,13000000,24982,en,4.835446,04/10/2003,17040871,92,7.1,39
Fat Pizza,400000,15603,en,0.99099,04/10/2003,7888102,96,5.7,10
Duplex,40000000,7288,en,12.160363,26/09/2003,19322135,89,5.9,500
The Rundown,85000000,10159,en,8.304835,26/09/2003,80916492,104,6.4,523
Young Adam,6400000,237,en,5.235419,26/09/2003,2500000,93,5.9,46
Cold Creek Manor,0,12767,en,5.84474,19/09/2003,21384035,118,4.9,114
Underworld,22000000,277,en,20.624333,19/09/2003,95708457,121,6.6,2556
"Spring, Summer, Fall, Winter... and Spring",0,113,ko,8.157887,19/09/2003,6502364,103,7.6,240
Soccer Days,0,54148,es,1.211616,19/09/2003,12212123,113,6.2,15
The Fighting Temptations,15000000,22309,en,2.18689,17/09/2003,30238577,122,5.3,38
Runaway Jury,60000000,11329,en,8.810961,10/09/2003,80154140,127,6.9,354
Elf,32000000,10719,en,8.754132,10/09/2003,173398518,97,6.4,1007
In the Cut,12000000,10944,en,5.799628,09/09/2003,23,119,4.7,93
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,22,en,47.326665,07/09/2003,655011224,143,7.5,7191
Hollywood Homicide,75000000,11375,en,11.080439,06/09/2003,51142659,116,5,172
"Good bye, Lenin!",4800000,338,de,10.605595,02/09/2003,79384880,121,7.4,602
Just Married,18000000,12090,en,6.001152,01/09/2003,101564935,95,5.3,415
Lost in Translation,4000000,153,en,11.609441,31/08/2003,119723856,102,7.3,1943
Girl with a Pearl Earring,0,3635,en,7.008512,31/08/2003,31466789,101,6.4,384
Open Range,22000000,2055,en,16.532577,29/08/2003,68296293,139,7,268
Intermission,5000000,16941,en,3.715985,29/08/2003,4856298,105,6.4,51
Marci X,20000000,32316,en,4.15656,22/08/2003,1675706,84,3.3,12
Thirteen,2000000,11023,en,14.379879,20/08/2003,4601043,100,6.6,355
Freddy vs. Jason,30000000,6466,en,14.015739,15/08/2003,114908830,97,5.8,608
Uptown Girls,20000000,14926,en,5.555088,15/08/2003,37095657,92,6.1,193
American Splendor,0,2771,en,7.05435,15/08/2003,6003587,101,7.1,121
Cabin Fever,1500000,11547,en,6.466688,15/08/2003,30553394,93,5.5,332
Tere Naam,1,56969,hi,1.280455,15/08/2003,2,132,6.4,18
S.W.A.T.,80000000,9257,en,13.334952,08/08/2003,116643346,117,5.8,780
Le Divorce,0,9499,en,8.73915,08/08/2003,12991996,117,4.8,40
Jeepers Creepers 2,17000000,11351,en,14.786032,08/08/2003,63102666,104,5.5,304
Down with Love,35000000,10720,en,9.392508,05/08/2003,20298207,101,6.1,202
Spy Kids 3-D: Game Over,38000000,12279,en,8.025145,25/07/2003,197011982,84,4.7,525
Seabiscuit,87000000,4464,en,7.851669,22/07/2003,148336445,141,6.8,219
Lara Croft Tomb Raider: The Cradle of Life,95000000,1996,en,13.076349,21/07/2003,156505388,117,5.5,1443
Bad Boys II,130000000,8961,en,8.191436,18/07/2003,273339556,147,6.3,1588
Mystic River,25000000,322,en,12.602438,10/07/2003,156822020,138,7.6,1473
Love Actually,40000000,508,en,10.586815,09/07/2003,244931766,135,7,1917
Bringing Down the House,20000000,10678,en,5.762343,03/07/2003,132675402,105,5.4,191
Tears of the Sun,70000000,9567,en,10.614987,03/07/2003,85632458,121,6.4,582
My Life Without Me,0,20,en,10.310508,03/07/2003,9726954,106,7.2,78
How to Lose a Guy in 10 Days,50000000,9919,en,5.188107,02/07/2003,177371441,116,6.3,873
The Jungle Book 2,20000000,14873,en,10.605851,02/07/2003,135680000,72,5.6,278
Charlie's Angels: Full Throttle,120000000,9471,en,7.821116,27/06/2003,259175788,106,5.2,930
From Justin to Kelly,12000000,31246,en,1.695369,20/06/2003,4922166,90,3,23
Hulk,137000000,1927,en,15.422638,19/06/2003,245360480,138,5.3,1571
Alex & Emma,30000000,17813,en,5.236854,16/06/2003,15368897,96,5,71
National Lampoon's Gold Diggers,0,44181,en,0.625659,15/06/2003,527000,90,3.1,7
Dumb and Dumberer: When Harry Met Lloyd,19000000,10152,en,9.280038,13/06/2003,39267515,85,4.1,211
21 Grams,20000000,470,en,6.372278,09/06/2003,60427839,124,7.2,943
Mambo Italiano,4361898,321,en,2.873356,06/06/2003,3031801,92,5.6,28
Johnny English,40000000,9486,en,8.739991,04/06/2003,160583018,88,6,875
Shanghai Knights,50000000,6038,en,7.469778,02/06/2003,88323487,115,6,707
Kops,0,9256,sv,2.939129,02/06/2003,8,90,6.4,58
Finding Nemo,94000000,12,en,25.497794,30/05/2003,940335536,100,7.6,6292
The Italian Job,60000000,9654,en,13.995044,30/05/2003,176070171,110,6.6,1949
Wrong Turn,12600000,9902,en,14.079718,30/05/2003,28650575,84,6,652
Capturing the Friedmans,0,2260,en,4.453296,30/05/2003,3117985,107,7.4,112
"The Tulse Luper Suitcases, Part 1: The Moab Story",10000000,3097,en,0.524432,24/05/2003,25800,127,7.8,5
Bruce Almighty,80000000,310,en,15.947524,23/05/2003,484572835,101,6.4,3121
The In-Laws,0,5146,en,6.585107,23/05/2003,20440627,98,5.6,68
The Barbarian Invasions,8000000,11042,fr,4.125182,21/05/2003,3432342,99,6.7,80
Dogville,10000000,553,da,9.808595,19/05/2003,16680836,178,7.6,619
Swimming Pool,7800000,302,en,14.481103,18/05/2003,22441323,102,6.5,154
Elephant,3000000,1807,en,6.447312,18/05/2003,10012022,81,7,410
Blackball,0,15443,en,1.433756,18/05/2003,48000,96,5.6,14
The Matrix Reloaded,150000000,604,en,16.229317,15/05/2003,738599701,138,6.7,3500
I'll Sleep When I'm Dead,0,3515,en,2.787144,14/05/2003,490964,97,5.3,28
Cowboys & Angels,2000000,20148,it,1.188935,14/05/2003,33700,89,5.9,10
The Last Samurai,140000000,616,en,19.582325,12/05/2003,456758981,154,7.3,1946
The Matrix Revolutions,150000000,605,en,15.368205,11/05/2003,424988211,129,6.4,3155
Camp,0,33339,en,6.411695,09/05/2003,1628154,114,5.6,24
The Order,35000000,9616,en,5.370818,09/05/2003,11560806,102,4.8,93
Party Monster,5000000,1415,en,3.007842,09/05/2003,742898,98,5.9,60
Touching the Void,0,11194,en,7.594022,09/05/2003,13885802,106,7.6,139
Coffee and Cigarettes,0,883,en,5.32553,09/05/2003,7897645,96,6.9,216
2 Fast 2 Furious,76000000,584,en,2.32462,06/05/2003,236350661,107,6.2,2087
Saamy,1,49029,ta,0.43849,05/05/2003,3,140,5.8,5
Under the Tuscan Sun,18000000,10934,en,8.508008,30/04/2003,58878723,113,6.4,178
Torremolinos 73,0,26488,es,8.721919,29/04/2003,1819410,87,6.6,18
Identity,30000000,2832,en,17.955897,25/04/2003,90259536,90,7.1,1090
The Lizzie McGuire Movie,17000000,18736,en,6.730857,25/04/2003,55534455,94,5.8,292
X2,110000000,36658,en,0.913096,24/04/2003,407711549,133,6.8,3572
